file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_HS0008_0207_1318044_to_1322972,དེས་ཨ་མ་ལགས་ཁྱོད་རང་གི་སྔོན་མའི་ཀི་ནང་གི་གྲོང་གསེབ་ལས་ཆེ་ཡ་ཡོད་རེད་བེ་ག་རེ་ཆུང་བ་ཡོད་རེད་ཟེར་མི་འབོར་དང་།  ,des a ma lags khyod rang gi sngon ma'i ki nang gi grong gseb las che ya yod red be ga re chung ba yod red zer mi 'bor dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_HS0008_0207_1318044_to_1322972.wav,STT_HS,2,107,4.928,wav16k/STT_HS0008_0207_1318044_to_1322972.wav,དེ་ཨ་མ་ལགས་ཁྱོད་རང་གི་སྔོན་མའིི་ནང་གི་གྲོང་གསེབ་ད་ལས་ཆེ་བ་ཡོད་རེད་བེ། ག་དྲ་ཆུང་བ་ཡོད་རེད་ཟེ། མི་འབོར་དང།
STT_HS0008_0216_1373886_to_1376894,ད་ཨ་མ་ལགས་གྲོང་པའི་ནང་ལ་མནའ་མ་སླེབས་ཚར་རེད་བ། འོང་ ,da a ma lags grong pa'i nang la mna' ma slebs tshar red ba/_'ong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_HS0008_0216_1373886_to_1376894.wav,STT_HS,2,51,3.008,wav16k/STT_HS0008_0216_1373886_to_1376894.wav,ད་ཨ་མ་ལགས་གྲོང་པའི་ནང་ལ་མནའ་མ་སླེབས་ཚར་རེད་བ། ཨ།
STT_TT00823_0098_670656_to_672704,དེ་གཉིས་འཇོག་ཚུལ་སོ་སོ་ནས་ཤེས་པ་ཅིག་བྱུང་བ་ཡིན་ན།  ,de gnyis 'jog tshul so so nas shes pa cig byung ba yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0098_670656_to_672704.wav,STT_TT,2,51,2.048,wav16k/STT_TT00823_0098_670656_to_672704.wav,དེ་གཉིས་འཇོག་ཚུལ་སོ་སོ་ནས་ཤེས་པ་ཅིག་བྱུང་བ་ཡིན་ན།
STT_TT00823_0102_713336_to_722534,ཁས་བླངས་ན་སྒྲུབ་འཇུག་ཏུ་སོང་ནས་ཚད་མ་གཞན་དོན་མེད་པར་འགྱུར་བ་དང་ཟེ། རྟོག་པ་སྒྲུབ་འཇུག་དུ་སོང་ན། ཚད་མ་གཞན་དོན་མེད་པར་ཆགས་ཡ་དེ་ག་རེ་རེད་ཟེར་ན། རྟོག་པ་དངོས་དབང་གིས་འཇུག་གི་ཡོད་རེད།  ,khas blangs na sgrub 'jug tu song nas tshad ma gzhan don med par 'gyur ba dang ze/_rtog pa sgrub 'jug du song na/_tshad ma gzhan don med par chags ya de ga re red zer na/_rtog pa dngos dbang gis 'jug gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0102_713336_to_722534.wav,STT_TT,2,177,9.198,wav16k/STT_TT00823_0102_713336_to_722534.wav,ཁས་བླངས་ན་སྒྲུབ་འཇུག་ཏུ་སོང་ནས། ཚད་མ་གཞན་དོན་མེད་པར་འགྱུར་བ་དང་ཟེ། རྟོག་པ་སྒྲུབ་འཇུག་ཏུ་སོང་ན། ཚད་མ་གཞན་དོན་མེད་པ་ཆགས་ཡ་དེ་ག་རེ་རེད་ཟེ་ན། རྟོག་པ་ངེས་དབང་གིས་འཇུག་གི་ཡོད་རེད།
STT_TT00823_0115_834356_to_836564,རེད་བ་ཐ་སྙད་ཙམ་དུ་ཡོད་པའི་ཀུན་རྫོབ་ཀི་དོན་དེ།  ,red ba tha snyad tsam du yod pa'i kun rdzob ki don de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0115_834356_to_836564.wav,STT_TT,2,47,2.208,wav16k/STT_TT00823_0115_834356_to_836564.wav,རེད་བ། ཐ་སྙད་ཙམ་དུ་ཡོད་པའི་ཀུན་རྫོབ་ཀི་དོན་དེ།
STT_TT00823_0121_870944_to_874176,ཨེ་ནས། རྟོག་པས་བཏགས་ཙམ་གི་ཆོས་ད་དོན་བྱེད་ནུས་པའི་གཞི་མཐུན་དུ་ཁས་བླངས་པ་ཡིན་ན།  ,e nas/_rtog pas btags tsam gi chos da don byed nus pa'i gzhi mthun du khas blangs pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0121_870944_to_874176.wav,STT_TT,2,79,3.232,wav16k/STT_TT00823_0121_870944_to_874176.wav,ཨེ་ནས། རྟོག་པས་བཏགས་ཙམ་གི་ཆོས་ད་དོན་བྱེད་ནུས་པའི་གཞི་མཐུན་དེ་ཁས་བླངས་པ་ཡིན་ན།
STT_TT00823_0125_909335_to_911959,གཞན་སེལ་དང་སེལ་བས་འཇུག་ཚུལ་ཕྱིན་ཅི་མ་ལོག་པ།  ,gzhan sel dang sel bas 'jug tshul phyin ci ma log pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0125_909335_to_911959.wav,STT_TT,2,45,2.624,wav16k/STT_TT00823_0125_909335_to_911959.wav,གཞན་སེལ་དང་སེལ་བས་འཇུག་ཚུལ་ཕྱིན་ཅི་མ་ལོག་པ།
STT_TT00823_0126_918231_to_920823,ཚིག་དེ་ཁག་པོ་ཞེ་བོ་འདུག ཁྱེད་རང་ཚོས་དཔེ་ཆ་ལ་གཞན་དག་ལ་ཡང་།  ,tshig de khag po zhe bo 'dug_khyed rang tshos dpe cha la gzhan dag la yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0126_918231_to_920823.wav,STT_TT,2,59,2.592,wav16k/STT_TT00823_0126_918231_to_920823.wav,ཚིག་དེ་ཁག་པོ་ཞེ་བོ་འདུག ཁྱེད་རང་ཚོ་དཔེ་ཆ་ལ་གཞན་དག་ལ་ཡང་།
STT_TT00823_0117_848097_to_857619,དེ་ཉིད་ད་དོན་བྱེད་ནུས་པའི་གཞི་མཐུན་ཁས་བླངས་ན་ཟེ་དུས། ཐ་སྙད་ཙམ་དུ་ཡོད་པའི་ཀུན་རྫོབ་དང་དོན་བྱེད་ནུས་པའི་གཞི་མཐུན་ཁས་བླངས་ན། ལུགས་འདིའི་ཐུན་མོང་མ་ཡིན་པའི་དོན་དམ་གྱི་ཚུལ་མི་རྟོགས་པར་འགྱུར་རོ་ཟེ།  ,de nyid da don byed nus pa'i gzhi mthun khas blangs na ze dus/_tha snyad tsam du yod pa'i kun rdzob dang don byed nus pa'i gzhi mthun khas blangs na/_lugs 'di'i thun mong ma yin pa'i don dam gyi tshul mi rtogs par 'gyur ro ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0117_848097_to_857619.wav,STT_TT,2,192,9.522,wav16k/STT_TT00823_0117_848097_to_857619.wav,དེ་ཉིད་དང་དོན་བྱེད་ནུས་པའི་གཞི་མཐུན་ཁས་བླངས་ན་ཟེར་དུས། ཐ་སྙད་ཙམ་དུ་ཡོད་པའི་ཀུན་རྫོབ་དང་དོན་བྱེད་ནུས་པའི་གཞི་མཐུན་ཁས་བླངས་ན། ལུགས་འདིའི་ཐུན་མོང་མ་ཡིན་པའི་དོན་དམ་གྱི་ཚུལ་མི་རྟོགས་པར་འགྱུར་རོ་ཟེ།
STT_TT00823_0123_887755_to_896220,ཇི་སྐད་བཤད་པའི་ཡུལ་གྱི་གནས་ལུགས་དང་ཟེ། ད་འོག་ནས་བཤད་ཀི་རེད་རེད་བ། ཨ་ཡུལ་གི་གནས་ལུགས་དངོས་པོའི་གནས་ལུགས་ཟེ་ཡ་ཅིག་གཏན་ལ་ཕབ་ཀི་རེད་བ། ཡུལ་གྱི་གནས་ལུགས་དང་།  ,ji skad bshad pa'i yul gyi gnas lugs dang ze/_da 'og nas bshad ki red red ba/_a yul gi gnas lugs dngos po'i gnas lugs ze ya cig gtan la phab ki red ba/_yul gyi gnas lugs dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00823_0123_887755_to_896220.wav,STT_TT,2,154,8.465,wav16k/STT_TT00823_0123_887755_to_896220.wav,ཇི་སྐད་བཤད་པའི་ཡུལ་གྱི་གནས་ལུགས་དང་ཟེ། ད་འོག་ནས་བཤད་ཀི་རེད། རེད་བ། ཨཡུལ་གི་གནས་ལུགས། དངོས་པོའི་གནས་ལུགས་ཟེར་ཡ་ཅིག་གཏན་ལ་འབབ་ཀི་རེད་བ། ཡུལ་གྱི་གནས་ལུགས་དང་།
